Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
Overhyped.,3,,English
Perfect crust.,9,,English
"Satay chicken worked well on pizza. Enjoyed every bite, especially the satay one.",8,,English
Mayonnaise flavor felt out of place. Wouldn’t order again.,4,,English
Disgusting.,1,,English
Satay chicken worked well on pizza. Sambal overwhelmed everything else.,5,,English
Creative but not for everyone.,4,,English
Meh.,5,,English
Revolutionary!,7.05,,English
Too weird to love.,0.75,,English
"Textures clashed, but somehow the flavors danced together.",1.05,,English
Unexpected harmony.,6.7,,English
"Peanut sauce on pizza? Yes, and I’m shocked it worked.",5.23,,English
"Felt like eating pizza at a hawker stall – smoky, spicy, and bold.",6.56,,English
"Satay flavors were rich, but the mayo dulled the magic.",6.47,,English
"The crust was perfect—thin, blistered, slightly chewy. Then came the sambal: fiery, unapologetic, and loaded with garlic. I didn’t expect satay chicken to pair so well with mozzarella, but it melted in. The mayo version reminded me of Japanese street pizza—odd, but comforting. Together, it’s a taste adventure.",0.22,,English
Love at first bite.,8.49,,English
Instant regret.,1.33,,English
Like nasi lemak crashed into an Italian kitchen – wild and weird.,7.16,,English
"A punch of Southeast Asia wrapped in a familiar Western form. The sambal pizza scorched my tongue in the best way. The satay chicken had this soft smokiness that felt grilled, not baked. Mayo slice was a strange closer – like dessert after spice. Ambitious, and mostly successful.",6.81,,English
Divine crust.,3.27,,English
"Would make a great limited-edition item, not a regular.",8.43,,English
"Spicy, sweet, savory – a flavor rollercoaster in every slice.",6.61,,English
So wrong it’s right.,0.23,,English
Too many bold flavors fighting for attention. Exhausting.,8.79,,English
"The sambal slice burned my mouth in the best way. Satay chicken was tender and flavorful, perfect with the peanut sauce. Mayo could’ve been left off, honestly—it clashed with the rest. Still, the crust was crispy and the ingredients felt fresh. I'd definitely order again, especially for the satay.",5.91,,English
Meets expectations.,2.19,,English
Unbearable heat.,3.61,,English
Mayo? Surprisingly smooth. Every bite felt like fusion done right.,6.51,,English
"It’s fusion, but not confusion. Balanced, bold, beautiful.",7.18,,English
Love at first bite.,0.04,,English
"Satay flavors were rich, but the mayo dulled the magic.",6.54,,English
Instant regret.,1.18,,English
Tastes like chaos.,7.13,,English
"This pizza broke my brain in the best way. Sambal brought the fire, the satay grounded it with nutty warmth, and mayo? Surprisingly smooth. Every bite felt like fusion done right. It’s chaotic, sure—but calculated chaos.",3.48,,English
Too weird to love.,5.57,,English
Like a party gone wrong.,7.8,,English
Unexpected harmony.,7.94,,English
Unbearable heat.,4.31,,English
"The sambal sauce made me sweat, cry, and smile all at once.",3.16,,English
Love at first bite.,5.72,,English
"Peanut sauce on pizza? Yes, and I’m shocked it worked.",1.94,,English
"Satay chicken had this soft smokiness that felt grilled, not baked.",0.77,,English
Like nasi lemak crashed into an Italian kitchen – wild and weird.,5.99,,English
So wrong it’s right.,0.16,,English
"Would make a great limited-edition item, not a regular.",7.99,,English
Too many bold flavors fighting for attention. Exhausting.,3.73,,English
"Unexpectedly delightful. Never thought I'd enjoy chili paste on pizza, but here we are. Satay adds heartiness. Mayo is a bit of a curveball. It's not traditional, but it is unforgettable. Great for foodies and risk-takers.",5.29,,English
Divine crust.,4.22,,English
Love at first bite.,8.79,,English
Meets expectations.,6.57,,English
"Textures clashed, but somehow the flavors danced together.",4.17,,English
Revolutionary!,0.49,,English
Like a party gone wrong.,8.34,,English
Satay chicken worked well on pizza. Creative but not for everyone.,7.48,,English
"An absolute flavor bomb! The satay topping was smoky and rich, perfectly balanced by the creamy mayo drizzle.",9.85,,English
"The sambal sauce gave just the right amount of kick, without overpowering the fresh ingredients. A must-try!",9.4,,English
"Fusion done right — spicy, sweet, and savory all at once. The crust was crispy, the toppings vibrant.",9.75,,English
I loved the subtle hint of satay peanut sauce on this pizza. It’s innovative and absolutely delicious.,9.1,,English
"This pizza blew me away! The sambal’s heat warmed me up, and the mayo mellowed the bite beautifully.",9.6,,English
A harmonious marriage of Indonesian flavors and classic pizza. The satay chicken was tender and juicy.,9.5,,English
"The perfect combination of spicy sambal and creamy mayo, with a crust that held everything together wonderfully.",9.3,,English
"Bold, exciting, and fresh — the fusion pizza exceeded my expectations in every bite.",9.2,,English
"Satay and pizza shouldn’t work together, but here it’s pure magic. Savory, nutty, and utterly satisfying.",9.55,,English
Every slice was packed with layers of flavor — the sambal added just enough fire to keep me coming back.,9.65,,English
"Bright, fresh, and spicy! The mayo added a smooth finish to the fiery sambal slices.",9.25,,English
"I was skeptical, but this fusion pizza is a winner. Satay chicken was perfectly cooked and bursting with flavor.",9.7,,English
"The sambal sauce was addictive, balanced by creamy mayo and a crispy crust. Highly recommend!",9.8,,English
A fresh take on pizza with a delightful sambal twist — I can’t wait to order again.,9.45,,English
Impressively flavorful and creative! Satay flavor came through with a perfect nutty richness.,9.35,,English
"From the first bite, I was hooked. The combination of spicy sambal and creamy mayo is genius.",9.6,,English
The peanut-satay topping melted perfectly into the mozzarella. A bold and delicious fusion.,9.5,,English
"Perfect spice level, a little sweet, a little savory — this pizza is an absolute delight.",9.55,,English
A creative and well-executed pizza. The sambal and mayo flavors balanced beautifully.,9.4,,English
The crisp crust paired with the creamy mayo and fiery sambal was an amazing taste experience.,9.3,,English
"Savory, spicy, and utterly unique. The satay chicken brought incredible depth of flavor.",9.7,,English
"Absolutely delicious. The sambal flavor is bold but balanced, and the mayo adds a cool creaminess.",9.6,,English
One of the best fusion pizzas I’ve ever had. The flavors melded perfectly.,9.8,,English
Exceptional flavor harmony between the peanut satay sauce and the traditional pizza base.,9.75,,English
"The sambal was fiery and fragrant, the mayo smooth and luscious, and the crust perfect.",9.45,,English
Every bite was a perfect blend of Southeast Asian spice and classic Italian pizza.,9.5,,English
"This pizza impressed me with its perfect blend of creamy, spicy, and savory notes.",9.6,,English
"The satay chicken topping was tender, juicy, and full of flavor — a total winner.",9.55,,English
A masterpiece of fusion cuisine — the sambal hit just the right notes of spice and flavor.,9.7,,English
"The creamy mayo topping balanced the heat of the sambal so well, I could eat this every day.",9.4,,English
"Bold flavors, fresh ingredients, and a perfectly baked crust. Highly recommended!",9.8,,English
"This pizza delivered on every level — innovative, flavorful, and utterly satisfying.",9.65,,English
"The satay flavor was subtle yet rich, adding an unexpected but delightful twist.",9.5,,English
Spicy sambal paired with mellow mayo is a genius combo that works beautifully on pizza.,9.6,,English
"I loved the crispy crust, the fiery sambal, and the creamy mayo blend — an exciting flavor ride.",9.45,,English
Fantastic pizza with a fresh take on traditional toppings — the satay was incredible.,9.7,,English
"Exceptional balance of heat, creaminess, and crunch — this fusion pizza has it all.",9.55,,English
"Satay and sambal flavors shone through in every bite, creating a unique and delicious combo.",9.65,,English
A perfect fusion of Indonesian heat and Italian comfort — highly recommended.,9.8,,English
The spicy sambal sauce and cool mayo make for a flavor explosion on a crisp crust.,9.5,,English
"The peanut satay topping was rich and satisfying, paired perfectly with melted cheese.",9.55,,English
"A fresh, bold twist on pizza that blew me away — so much flavor and creativity.",9.7,,English
The combination of sambal heat and smooth mayo was unexpectedly wonderful.,9.4,,English
"Every bite was an exciting adventure — spicy, creamy, and perfectly cooked.",9.65,,English
"Satay chicken was tender and flavorful, a beautiful pairing with the creamy mayo.",9.6,,English
This pizza is a creative masterpiece with a perfect balance of bold flavors.,9.75,,English
"The sambal sauce delivered a perfect spicy kick, balanced by the cool mayo topping.",9.55,,English
Uniquely delicious fusion that keeps you coming back for more.,9.7,,English
"Electrifying fusion of bold sambal heat and silky mayo, all on a perfectly baked crust.",9.73,,English
Pure genius! Satay-infused pizza takes comfort food to the next level.,9.88,,English
"A delightful explosion of flavors, from the spicy sambal to the creamy finish.",9.56,,English
Simply heavenly! The balance between spicy and creamy was flawless.,9.8,,English
"Like a culinary love story—satay and pizza, unexpected but perfect.",9.67,,English
"Bold, fresh, and unforgettable. I’m craving this again already.",9.9,,English
"Sambal heat wakes up your senses, but mayo calms and soothes. Perfect combo.",9.58,,English
"One of the best fusion dishes I've tasted all year—rich, spicy, and balanced.",9.74,,English
Unforgettable layers of flavor that play together harmoniously.,9.81,,English
An innovative twist that works! The peanut satay topping was divine.,9.69,,English
"A game changer! Spicy, creamy, crunchy—this pizza has it all.",9.92,,English
"Satay sauce was rich and comforting, while sambal added just the right kick.",9.64,,English
Wow! Creamy mayo tempered the fire of the sambal so beautifully.,9.77,,English
"Bold, creative, and just the right amount of heat. Loved every bite.",9.7,,English
Exceptional taste and quality ingredients — fusion at its finest.,9.85,,English
"The sambal mayo pizza is my new favorite. Spicy, smooth, delicious.",9.63,,English
Impressive mix of cultures in every slice. Highly recommend.,9.78,,English
"Flavorful, fresh, and perfectly balanced — the best fusion pizza I’ve had.",9.84,,English
The peanut satay gave this pizza a luscious depth I didn’t expect but loved.,9.66,,English
"Deliciously unique with layers of spicy, sweet, and creamy goodness.",9.75,,English
"Packed with bold, exciting flavors that blend seamlessly.",9.88,,English
"The spicy sambal sauce was vibrant and fresh, with the mayo adding a perfect creamy contrast.",9.71,,English
Review,Score,Again??,You cannot be serious ...
"Bright, bold, and utterly satisfying — fusion food done right.",9.89,,English
Love at first bite! The satay chicken was juicy and bursting with flavor.,9.83,,English
Creative and delicious! The sambal-mayo combo was a revelation.,9.65,,English
"Perfectly crispy crust with a spicy, creamy topping that hits all the right notes.",9.72,,English
"A bold, beautiful marriage of flavors that excited my palate.",9.8,,English
Simply delicious — the peanut satay sauce paired perfectly with the cheese.,9.77,,English
The heat from the sambal was perfectly balanced by the cool mayo. So good!,9.68,,English
"Exceptional fusion pizza — unique, flavorful, and memorable.",9.79,,English
A true flavor bomb! The creamy mayo paired with spicy sambal was outstanding.,9.85,,English
"An exciting and innovative take on pizza — rich, spicy, and satisfying.",9.73,,English
The satay topping was unexpectedly wonderful — nutty and savory.,9.7,,English
Sambal and mayo create a perfect harmony of flavors that dance on your tongue.,9.81,,English
Bold and balanced with an exciting flavor profile. I’ll be back for more!,9.86,,English
Deliciously creative and surprisingly harmonious in taste.,9.74,,English
The spicy kick from the sambal was tamed by smooth mayo — genius!,9.69,,English
One bite and I was hooked! Fusion done right.,9.88,,English
Creative topping combo that actually works — a tasty surprise.,9.82,,English
"Savory, spicy, creamy, and crunchy — all in one perfect pizza.",9.85,,English
Exceptional pizza with bold Indonesian flavors balanced by classic ingredients.,9.76,,English
"Peanut satay sauce was rich and flavorful, a perfect fusion twist.",9.78,,English
A harmonious blend of fiery sambal and cooling mayo — amazing!,9.84,,English
An exciting new favorite — packed with flavor and great texture.,9.81,,English
"The perfect balance of heat, creaminess, and crisp crust.",9.79,,English
"Sambal's fiery punch paired perfectly with smooth, luscious mayo.",9.86,,English
"Rich, bold, and fresh — this pizza takes fusion to the next level.",9.88,,English
The satay topping was a delightful surprise — deeply flavorful and rich.,9.74,,English
"Bold, exciting, and incredibly delicious. Fusion food done to perfection.",9.83,,English
The sambal mayo combo was unexpected but incredibly tasty.,9.8,,English
"Spicy, creamy, and satisfying — everything you want in a fusion pizza.",9.87,,English
A wonderful blend of intense flavors and fresh ingredients.,9.75,,English
Simply amazing! Satay flavor was strong but not overpowering.,9.82,,English
Love this creative fusion! The sambal heat was perfectly balanced by mayo.,9.86,,English
Deliciously different — a fresh take on classic pizza flavors.,9.77,,English
Each bite bursts with a wonderful blend of spice and creaminess.,9.85,,English
"Exciting and new, with perfectly balanced flavors and textures.",9.79,,English
The perfect mix of spicy sambal and creamy mayo on a crispy base.,9.9,,English
Savory satay chicken made this pizza unforgettable and tasty.,9.84,,English
The creamy mayo cooled the spicy sambal in an amazing way.,9.81,,English
Bold flavors and fresh ingredients come together beautifully here.,9.88,,English
A fantastic twist on pizza with exciting Southeast Asian flavors.,9.77,,English
"Satay sauce added rich, nutty goodness that paired perfectly with cheese.",9.8,,English
One of the most flavorful fusion pizzas I’ve ever tried — excellent!,9.85,,English
The sambal's spice was bold but balanced by the mayo's smoothness.,9.89,,English
"Perfectly cooked crust with exciting, rich toppings.",9.86,,English
Creative and delicious — a fusion pizza I can’t stop thinking about.,9.83,,English
Delicious spicy sambal with a smooth mayo finish. Highly recommended!,9.81,,English
"The satay chicken was tender and flavorful, making this pizza a winner.",9.9,,English
A superb combination of bold spices and creamy toppings.,9.74,,English
"An inventive, tasty pizza that delivers big on flavor.",9.87,,English
"Fresh, exciting, and perfectly spicy — a true standout.",9.8,,English
Sambal gave the pizza a wonderful kick while the mayo mellowed it out.,9.85,,English
"Bold, flavorful, and utterly satisfying — fusion food perfection.",9.88,,English
Outstanding fusion flavors with a perfect balance of heat and creaminess.,9.82,,English
Rich peanut satay sauce added a lovely depth to the pizza.,9.79,,English
"One bite and I was hooked — unique, spicy, and creamy.",9.83,,English
A delicious fusion pizza that hits all the right notes.,9.9,,English
"Creative, bold, and well-executed — a must-try for fusion lovers.",9.77,,English
"The sambal mayo topping was fresh, spicy, and irresistibly good.",9.85,,English
"Fantastic blend of spicy, creamy, and crunchy textures.",9.88,,English
The perfect balance of heat from sambal and richness from mayo.,9.8,,English
A beautifully bold and flavorful fusion pizza experience.,9.86,,English
Deliciously complex flavors with fresh ingredients and a crisp crust.,9.79,,English
Satay and sambal come together perfectly for a taste sensation.,9.9,,English
The spicy sambal and cool mayo make an amazing pairing.,9.81,,English
"Innovative, tasty, and well-balanced — fusion pizza done right.",9.87,,English
Each bite packed with exciting and well-layered flavors.,9.82,,English
A delightful and unique pizza with amazing Southeast Asian flair.,9.88,,English
"The peanut satay was a rich, delicious addition to this fusion masterpiece.",9.85,,English
"Interesting flavor combination, but nothing memorable.",5.5,,English
"The pizza was okay, neither great nor bad.",5.2,,English
"Sambal added some heat, but overall quite average.",5.75,,English
"Decent crust, but the toppings were underwhelming.",5.1,,English
"Not bad, but the fusion didn’t quite hit the mark for me.",5.8,,English
"A fair attempt at fusion pizza, but needs more balance.",5.95,,English
"The mayo topping was mild, didn’t add much.",5.6,,English
Satay flavor was present but not very strong.,5.25,,English
An average pizza experience with some interesting flavors.,5.4,,English
The sambal was a bit too mild to make a difference.,5,,English
"Good crust, but the fusion toppings didn’t stand out.",5.7,,English
"The pizza was fine, but lacked excitement.",5.15,,English
Sambal was spicy but lacked depth.,5.85,,English
The mayo was creamy but overpowered other flavors slightly.,5.3,,English
"Nothing special, but I wouldn’t mind having it again.",5.65,,English
"The fusion concept is interesting, execution could improve.",5.5,,English
Satay was subtle and didn’t make much impact.,5.45,,English
"The pizza crust was nice, but the toppings felt average.",5.1,,English
"Okay flavor, but nothing that made me want to order again.",5.6,,English
"The sambal added some heat, but overall just average.",5.75,,English
Average pizza with fusion ingredients that didn’t blend well.,5.2,,English
The mayo was too plain for my taste.,5.05,,English
"Satay chicken was tender, but the flavor was light.",5.55,,English
"An okay pizza, but the flavors didn’t excite me.",5.4,,English
"The crust was good, but the fusion toppings could be stronger.",5.15,,English
"Sambal and mayo were there, but didn’t shine.",5.3,,English
"The pizza was just alright, neither good nor bad.",5.5,,English
A decent pizza that didn’t impress much.,5.2,,English
"The fusion toppings were interesting, but not memorable.",5.6,,English
Sambal was a bit bland for a spicy sauce.,5.45,,English
Mayo was creamy but didn’t add much flavor.,5.25,,English
"The crust was fine, but the fusion elements were forgettable.",5,,English
Average fusion pizza with potential to improve.,5.65,,English
Satay flavor was present but subtle.,5.3,,English
"The pizza was okay, but not something I’d crave.",5.15,,English
"Sambal gave a mild kick, but overall average.",5.4,,English
The mayo was smooth but lacked flavor complexity.,5.1,,English
"Decent crust, toppings were average.",5.55,,English
Fusion flavors were mild and didn’t stand out.,5.2,,English
The pizza was edible but didn’t excite me.,5.35,,English
Sambal was there but lacked punch.,5.25,,English
Satay was a nice idea but too subtle.,5.15,,English
Mayo made the pizza creamy but didn’t add bold flavors.,5.5,,English
An average fusion pizza with a good crust.,5.65,,English
The toppings were decent but not memorable.,5.4,,English
The sambal was mild and the mayo was plain.,5.05,,English
Pizza was fine but nothing to rave about.,5.3,,English
"Interesting concept, but the execution was average.",5.2,,English
Satay was present but lacked depth.,5.45,,English
"The crust was nice, toppings could be improved.",5.1,,English
Sambal added mild spice but was forgettable.,5.6,,English
The mayo was creamy but bland.,5.35,,English
Average pizza with some interesting flavors.,5.15,,English
"Decent pizza, but the fusion flavors were muted.",5.4,,English
The satay was subtle and didn’t leave a strong impression.,5.25,,English
Sambal was a bit weak for my taste.,5.5,,English
The mayo was smooth but lacked flavor punch.,5.2,,English
"Not bad, but didn’t stand out.",5.1,,English
"The crust was good, but the fusion toppings were ordinary.",5.65,,English
Sambal was present but not very flavorful.,5.35,,English
"The pizza was just okay, nothing special.",5.4,,English
The fusion concept was interesting but not fully realized.,5.25,,English
Satay was mild and understated.,5.15,,English
Mayo was creamy but a bit plain.,5.5,,English
The pizza was decent but lacked excitement.,5.2,,English
Sambal was there but didn’t add much heat.,5.05,,English
An okay pizza with fusion elements.,5.3,,English
Decent crust with average toppings.,5.1,,English
The fusion flavors were mild and not very memorable.,5.65,,English
Satay chicken was tender but light on flavor.,5.35,,English
The mayo was smooth but lacked depth.,5.4,,English
"The pizza was okay, but I wouldn’t order again.",5.25,,English
Sambal was a bit bland and forgettable.,5.15,,English
The crust was decent but the toppings didn’t impress.,5.5,,English
Mayo added creaminess but no bold flavor.,5.2,,English
An average pizza with some nice textures.,5.1,,English
The fusion flavors were subtle and muted.,5.65,,English
Satay was present but not pronounced.,5.35,,English
Sambal was mild and didn’t pack a punch.,5.4,,English
The mayo was creamy but lacked flavor complexity.,5.25,,English
"The pizza was fine, but not remarkable.",5.15,,English
Decent crust but average toppings.,5.5,,English
Sambal added mild spice but was forgettable.,5.2,,English
"The pizza was just okay, nothing memorable.",5.1,,English
Fusion concept was interesting but execution was lacking.,5.65,,English
Satay flavor was subtle and light.,5.35,,English
The mayo was smooth but bland.,5.4,,English
Average pizza with mild flavors.,5.25,,English
Sambal was present but lacked heat.,5.15,,English
The crust was decent but the toppings were ordinary.,5.5,,English
Mayo added creaminess but not flavor.,5.2,,English
An okay pizza but not exciting.,5.1,,English
The fusion flavors were mild and forgettable.,5.65,,English
Okay pizza.,5.2,,English
Not bad.,5.5,,English
Average taste.,5.4,,English
Could be better.,5.1,,English
Decent crust.,5.3,,English
Nothing special.,5.15,,English
Mild flavor.,5.25,,English
Just okay.,5,,English
Fair effort.,5.6,,English
Taste was average.,5.45,,English
Somewhat bland.,5.35,,English
Not memorable.,5.2,,English
Flavor was mild.,5.1,,English
Acceptable pizza.,5.5,,English
Could improve.,5.05,,English
Average fusion.,5.15,,English
Too mild.,5.25,,English
Meh.,4.8,,English
Simple flavor.,5.3,,English
Not exciting.,5.4,,English
Moderate taste.,5.15,,English
Plain toppings.,5.05,,English
Fair crust.,5.35,,English
Could use spice.,5.2,,English
Just fine.,5.1,,English
Average combo.,5.45,,English
Nothing stood out.,5.3,,English
Okay crust.,5.5,,English
Blended well enough.,5.25,,English
Neutral flavor.,5.4,,English
Terrible pizza. Couldn’t finish it.,0.5,,English
Disgusting combo of flavors. Never again.,0.75,,English
Burnt crust and overpowering mayo. Awful.,1.1,,English
Sambal was way too spicy and bitter.,1.25,,English
Satay sauce tasted spoiled. Gross.,0.9,,English
"Flavors clashed horribly, nothing worked.",1,,English
Pizza was soggy and bland at the same time.,0.6,,English
Terrible texture and awful taste.,0.8,,English
Too much mayo ruined the entire pizza.,1.2,,English
"Disappointing experience, wouldn’t recommend.",1.5,,English
Satay was artificial tasting and salty.,1,,English
Burnt edges and weird aftertaste.,0.75,,English
Was expecting better; this was a disaster.,1.3,,English
The sambal was painfully hot with no balance.,0.9,,English
Dry crust and flavorless toppings.,1.15,,English
"Awful pizza, the mayo was slimy.",1.4,,English
"Taste was off, possibly stale ingredients.",0.85,,English
"Very disappointing, lacked any real flavor.",1.1,,English
Pizza was greasy and unpleasant.,1.25,,English
"Sambal made my mouth burn, no relief.",1.05,,English
"Texture was rubbery and chewy, yuck.",0.7,,English
The peanut sauce was bitter and overwhelming.,0.95,,English
Too salty and too spicy. Terrible.,1.15,,English
Absolutely not enjoyable. Waste of money.,0.5,,English
"Disgusting mix, the flavors didn’t blend.",1.2,,English
"Soggy, bland, and just bad overall.",0.8,,English
Failed fusion attempt — don’t try it.,0.65,,English
Mayo tasted sour and spoiled.,0.9,,English
"Terrible combo, it didn’t work at all.",1,,English
"Awful pizza with burnt, chewy crust.",0.55,,English
"Absolutely disgusting. The worst pizza I've ever had. The sambal was unbearably spicy and bitter, and the mayo tasted sour and cheap.",0.45,,English
Terrible.,0.8,,English
"Burnt crust, soggy toppings, and a flavor clash that made me nauseous.",1.1,,English
Overpowering mayo ruined everything.,1.25,,English
Satay tasted stale and salty.,1.05,,English
Don't waste your money on this disaster.,0.7,,English
Awful. The crust was rubbery and the sauce was terrible.,0.9,,English
Painfully spicy sambal with no balance or relief.,1.2,,English
Flavors didn’t blend at all. Very disappointing.,1,,English
Gross combo. Won't order again.,0.6,,English
Disgusting aftertaste lingered long after eating.,0.95,,English
Pizza was dry and flavorless. Not recommended.,1.15,,English
Mayonnaise was slimy and off-putting.,1.4,,English
Satay sauce was bitter and overpowering. Yuck.,0.85,,English
Burnt edges with weird textures. Terrible experience.,0.75,,English
The peanut satay tasted like chemicals.,1.1,,English
Flavors were harsh and unbalanced.,1.3,,English
Pizza was greasy and unpleasant to eat.,1,,English
Absolutely horrid. The sambal was like lava.,0.5,,English
"Crust was soggy, toppings were bland and weird.",0.8,,English
Disastrous fusion that just doesn’t work.,0.65,,English
"Too salty, too spicy, and too much mayo. Gross.",1.15,,English
Tasted like it had been sitting out for days.,0.9,,English
"Texture was chewy and rubbery, really bad.",0.7,,English
Pizza was a complete fail.,0.55,,English
The flavor combination was awful and confusing.,1.05,,English
Burnt crust and bitter sauce ruined the whole thing.,0.95,,English
Disgusting pizza. Felt sick afterward.,0.6,,English
Satay was salty and artificial tasting.,1.2,,English
Mayo had a weird sour taste that made it inedible.,1,,English
"Pizza ini sangat sedap, sambalnya memberi rasa yang unik dan menarik.",9.872,,Malay
"Rasa satay dan mayo tidak seimbang, agak mengecewakan.",4.315,,Malay
Crustnya lembut tapi topping sambal agak terlalu pedas untuk saya.,6.743,,Malay
"Saya suka campuran rasa ini, unik dan lazat!",8.934,,Malay
"Pizza ni biasa-biasa saja, tak ada apa yang menarik.",5.112,,Malay
Sambal terlalu kuat sampai rasa lain hilang.,3.578,,Malay
Enak! Rasa satay sangat autentik dan menyelerakan.,9.45,,Malay
"Mayonis terlalu banyak, buat pizza jadi berat dan berminyak.",4.675,,Malay
Fusion pizza yang bagus dengan rasa yang seimbang.,8.21,,Malay
"Rasa pizza kurang menarik, saya jangkakan lebih baik.",5.009,,Malay
Rasa pedas sambal dan krim mayo memang kombinasi yang hebat.,9.31,,Malay
"Roti terlalu keras, buat rasa kurang sedap.",3.85,,Malay
"Pizzanya sedap, tapi topping satay kurang rasa kacangnya.",7.642,,Malay
"Tidak sesuai dengan selera saya, rasa pelik.",2.35,,Malay
"Perisa yang segar dan menarik, saya suka!",8.965,,Malay
"Rasa pizza agak hambar, mungkin kurang seasoning.",5.43,,Malay
Sambal yang sangat pedas dan mayo yang lembut membuatkan pizza ini menarik.,8.775,,Malay
Pizzanya agak kering dan toppingnya tidak merata.,4.985,,Malay
Saya tidak boleh makan pizza ini kerana rasa satay terlalu kuat.,2.1,,Malay
Pizzanya sedap dan cukup unik dengan rasa sambal.,8.92,,Malay
"Mayonis terlalu banyak, rasa jadi terlalu creamy.",4.11,,Malay
"Gabungan rasa yang luar biasa, sangat memuaskan.",9.645,,Malay
"Pizza biasa, tiada apa yang spesial.",5.22,,Malay
Rasa sambal yang tajam dan pedas sangat menyegarkan.,8.435,,Malay
